id,display,rank
24060,Frederiksgade 79,19
54817,Mejlgade 39,19
60841,Nørrebrogade 12,19
53,Anholtsgade,19
87791,Thunøgade 1,19
84457,Studsgade 7,19
54809,Mejlgade 35,19
2561,Trepkasgade (1911-),19
94567,Vestergade 53,19
84472,Studsgade 28,19
85790,Søndergade 68,19
94520,Vestergade 25,19
54772,Mejlgade 7,18
38998,Immervad 7,18
94524,Vestergade 30,18
423,Domkirkepladsen,18
42541,Kannikegade 10,18
84465,Studsgade 17,18
2667,Vesterbro Torv,18
790,Gyden,18
60879,Nørregade 22,18
85742,Søndergade 3,18
85747,Søndergade 7,18
85594,Sølystgade 3,17
2102,Silkeborgvej,17
5207,Badstuegade 16,17
23989,Frederiksgade 16,17
60867,Nørregade 9,17
5209,Badstuegade 18,17
85753,Søndergade 12,17
24055,Frederiksgade 78,17
5197,Badstuegade 8,17
54865,Mejlgade 72,17
23995,Frederiksgade 25,17
1824,Orla Lehmanns Alle,17
68852,Ryesgade 29,17
54835,Mejlgade 47,17
28562,Guldsmedgade 22,17
60855,Nørrebrogade 28,16
45619,Klostergade 30,16
2407,Sønder Alle,16
45628,Klostergade 34,16
1079,Højen,16
85771,Søndergade 39,16
97072,Volden 21,16
75554,Skolegade 29,16
85743,Søndergade 4,16
5193,Badstuegade 3,16
94514,Vestergade 17,16
51076,Lollandsgade 4,16
60887,Nørregade 36,16
54862,Mejlgade 70,16
763,Grænsen,16
23709,Fredensgade 25,16
2308,Steinmannsgade (1911-),15
54872,Mejlgade 76,15
94530,Vestergade 35,15
54801,Mejlgade 27,15
180,Bispegade,15
186,Bissensgade,15
54821,Mejlgade 41,15
45617,Klostergade 22,15
68826,Ryesgade 4,15
1574,Marselis Boulevard (1932-),15
45601,Klostergade 2,15
83678,Store Torv 1,15
32,Aldersrovej,15
83683,Store Torv 7,15
23998,Frederiksgade 26,15
83681,Store Torv 5,15
85791,Søndergade 70,15
97079,Volden 27,15
23992,Frederiksgade 20,15
1485,Lunden,15
84454,Studsgade 5,15
54793,Mejlgade 20,15
85784,Søndergade 56,15
67538,Rosensgade 32,15
32193,Heibergsgade 21,15
26839,Graven 18,15
1287,Klosterport (1913-),15
85764,Søndergade 27,14
73146,Sjællandsgade 93,14
2076,Sandgravvej,14
23710,Fredensgade 26,14
1118,Ingerslevs Boulevard,14
85793,Søndergade 74,14
67541,Rosensgade 34,14
28302,Grønnegade 4,14
59209,Norsgade 31,14
39177,Istedgade 8,14
94507,Vestergade 7,14
1539,Maden,14
54855,Mejlgade 57,14
963,Herredsvej,14
2610,Udsigten,14
63303,Paradisgade 8,14
60870,Nørregade 12,14
28550,Guldsmedgade 8,14
98544,Østergade 31,14
67516,Rosensgade 14,14
60836,Nørrebrogade 4,14
87150,Tangen 2,14
84495,Studsgade 48,14
54878,Mejlgade 78,14
23981,Frederiksgade 1,14
23700,Fredensgade 17,13
97058,Volden 3,13
621,Finsensgade,13
2789,Østboulevarden,13
60884,Nørregade 32,13
85646,Sølystgade 46,13
109073,Aarhus Mark,13
26814,Graven 5,13
59204,Norsgade 27,13
23999,Frederiksgade 27,13
98546,Østergade 35,13
84459,Studsgade 8,13
68836,Ryesgade 11,13
54830,Mejlgade 44,13
23994,Frederiksgade 24,13
45613,Klostergade 19,13
84494,Studsgade 46,13
28549,Guldsmedgade 6,13
85756,Søndergade 16,13
1162,Jerichausgade,13
26817,Graven 7,12
2351,Strandparken (1934-),12
94563,Vestergade 51,12
84451,Studsgade 4,12
85754,Søndergade 14,12
